dni;nombre;fechaNacimiento;telefono;email;ciudad;provincia;direccion;codigoPostal
30061507R;MARIA SOL MUÑIZ IBAÑEZ;29/5/35;731826848;mariasol_35@iname.com;Oropesa del Mar/Orpesa;Castellón/Castelló;Calle Doctor Fleming 70;12638
82184634E;BEATRIZ CARRILLO SALAS;19/10/78;641824599;beatriz_78@whoever.com;Riaño;León;Carrera Madrid 90;24788
31602929D;SARA GUTIERREZ MILLAN;18/5/99;642229679;sara_99@hotmail.com;Basardilla;Segovia;Carrera San José 63;40215
80782121A;IAN BELTRAN GONZALEZ;1/5/36;647631456;ian_36@aim.com;Campo de Mirra/Camp de Mirra, el;Alicante/Alacant;Ronda Miguel de Cervantes 28;03007
02398141T;LARA DEL POZO PAREDES;22/6/55;766215232;lara_55@techie.com;Tiétar;Cáceres;Pasaje Pablo Picasso 57;10282
22560308E;NATIVIDAD DIAZ PAEZ;26/4/00;644732316;natividad_00@caramail.com;Vilviestre del Pinar;Burgos;Calle San Roque 34;09695
99081734B;ANDREU ROMERO CALLEJA;8/8/58;719074870;andreu_58@aim.com;Bogarra;Albacete;Travesía Iglesia 72;02950
81783857C;ANA CRISTINA AREVALO QUINTERO;13/5/68;774713716;anacristina_68@libero.it;Fresnedoso de Ibor;Cáceres;Gran vía Miguel de Cervantes 25;10819
36733563X;ANTONI JUAN WANG;19/4/59;673939639;antoni_59@usa.com;Cangas;Pontevedra;Avenida San Miguel 26;36370
45089479A;ADELA CARRERA SEVILLA;10/2/46;768806497;adela_46@lycos.de;Plenas;Zaragoza;Paseo Iglesia 38;50119
00868725S;CLARA MARQUES MARTI;24/11/93;738610245;clara_93@yahoo.com;Foz;Lugo;Vía San José 99;27061
88025614Z;MIGUEL MOYANO PEREZ;27/2/44;661523557;miguel_44@mail.com;Albondón;Granada;Callejón Miguel de Cervantes 86;18670
85877044N;LUCIANO EXPOSITO AHMED;17/9/07;630573032;luciano_07@journalism.com;Renieblas;Soria;Callejón San Roque 50;42617
39391223C;JOAQUIM BELMONTE SASTRE;2/11/03;682872909;joaquim_03@earthling.net;Hoya-Gonzalo;Albacete;Carrera San Roque 35;02870
11746138S;MARIA DOLORS HUERTA CALVO;12/2/70;788662348;mariadolors_70@yahoo.es;Andújar;Jaén;Gran vía San Pedro 91;23936
10865771L;JORDI TIRADO BLAZQUEZ;23/10/40;625780996;jordi_40@lycos.co.uk;Castrojimeno;Segovia;Gran vía San Isidro 35;40762
34411783B;EMMA MATEU CANTERO;20/1/52;605969839;emma_52@journalism.com;Valdeolmos-Alalpardo;Madrid;Avenida Ramón y Cajal 20;28431
37224423G;MONTSERRAT MOLINA MARCOS;24/3/67;788052117;montserrat_67@lycos.nl;Vila-rodona;Tarragona;Avenida Iglesia 58;43279
95919440X;ISRAEL REY EXPOSITO;21/9/67;775984690;israel_67@hotmail.co.uk;Merca, A;Ourense;Gran vía Mayor 62;32485
20413446A;MARIA ARANZAZU HERNANDO AVILA;29/10/81;658177583;mariaaranzazu_81@talk21.com;Guirguillano;Navarra;Rambla Mayor 76;31465
35572845X;ANA ISABEL ABAD RUANO;8/6/63;651622353;anaisabel_63@lycos.nl;Zurgena;Almería;Vereda Manuel de Falla 27;04050
09720352T;MARIA MONTSERRAT CABEZAS CASTELLANOS;22/4/98;610430441;mariamontserrat_98@witty.com;Cerdá;Valencia;Vereda Santa Ana 98;46812
76731291W;ANA ROSA DOMINGUEZ BRITO;19/12/59;739836770;anarosa_59@hotmail.com;Masnou, El;Barcelona;Carrera Diego Velázquez 34;08933
21413083Z;BENITO RODRIGO DE LA ROSA;19/12/36;703678954;benito_36@iname.com;Villasarracino;Palencia;Travesía Diego Velázquez 70;34592
81059248A;JULIAN VERGARA CARO;29/10/88;760415281;julian_88@hotmail.com;Castelserás;Teruel;Avenida San Miguel 68;44782
34279150L;VICTOR MANUEL CRIADO CHAMORRO;4/8/94;704850261;victormanuel_94@btinternet.com;Nava de Santiago, La;Badajoz;Calle Rafael Alberti 20;06539
31328398Y;JUAN IGNACIO ROSALES MIRANDA;3/1/42;712723640;juanignacio_42@lycos.nl;Vega de Infanzones;León;Callejón Rafael Murillo 32;24112
72852120B;MARIA ELENA DORADO MARIN;25/3/35;675166250;mariaelena_35@gmail.com;Manganeses de la Polvorosa;Zamora;Vía San Pedro 13;49394
95455007Q;OSCAR IGLESIAS QUESADA;8/11/55;615267401;oscar_55@whoever.com;Antas;Almería;Calle Iglesia 57;04526
68118643A;PAULINO PUJOL CRIADO;10/6/40;612447291;paulino_40@scientist.com;Monterde de Albarracín;Teruel;Corredera Miguel de Cervantes 37;44771
01644972N;ARACELI LATORRE SANTANA;8/12/48;755434489;araceli_48@teacher.com;Sada;Coruña, A;Rambla Horno 2;15066
57527309P;MAXIMO SOLE RECIO;29/6/63;681336533;maximo_63@hotmail.co.uk;Sahún;Huesca;Ronda Constitución 34;22017
80312817Z;VIRGINIA NARANJO POLO;4/5/97;725985911;virginia_97@email.com;Yélamos de Arriba;Guadalajara;Vereda Constitución 32;19051
84444555D;SATURNINO ROBLES SINGH;17/5/86;746397142;saturnino_86@scientist.com;Alcubillas;Ciudad Real;Rambla Real 77;13076
91576468J;MARIA BEGOÑA AGUADO LUQUE;26/11/72;715214880;mariabegona_72@journalism.com;Moraleja del Vino;Zamora;Camino Miguel de Cervantes 93;49837
30161982N;JAIME OLIVA GALAN;16/8/57;636740931;jaime_57@netscape.net;Traspinedo;Valladolid;Cuesta Miguel Hernández 45;47791
64137730E;DIANA PALACIOS EXPOSITO;5/10/85;797604027;diana_85@lycos.it;Cortes y Graena;Granada;Vía Madrid 20;18516
76255693K;CRISTOBAL BAENA APARICIO;17/7/60;613501102;cristobal_60@lycos.de;Gatika;Bizkaia;Ronda Manuel de Falla 79;48118
80753349G;ENCARNACION VENTURA MENENDEZ;16/1/38;722832272;encarnacion_38@scientist.com;Cubillo;Segovia;Travesía Rafael Murillo 55;40343
41326085F;ELENA LOBATO ALCAIDE;22/10/69;636253325;elena_69@writeme.com;Hito, El;Cuenca;Calle Clara Campoamor 46;16575
76485165E;GERARDO CARO MEDINA;28/2/84;755364391;gerardo_84@aim.com;Lugros;Granada;Rambla San Miguel 73;18683
69827122L;ESPERANZA ZAPATA REY;31/12/98;681988662;esperanza_98@scientist.com;Cuelgamures;Zamora;Pasaje Rafael Alberti 96;49412
02357603B;CLAUDIO ANGULO MARIN;2/6/61;764082986;claudio_61@earthling.net;Salvatierra de Esca;Zaragoza;Cuesta Rafael Alberti 55;50787
73751649X;DESIREE CASTILLA POLO;4/11/58;769410071;desiree_58@lycos.it;Momblona;Soria;Calle San José 36;42899
86161415B;RICARDO OCHOA SERRA;15/12/01;714704391;ricardo_01@journalism.com;Pinillos;Rioja, La;Paseo Doctor Fleming 74;26544
11729119Q;JERONIMO DIAZ VELASCO;14/10/63;764440653;jeronimo_63@lycos.at;Villar del Humo;Cuenca;Cuesta Antonio Machado 79;16881
93752917H;FERRAN PAREDES CASTRO;15/10/82;741314117;ferran_82@witty.com;Andosilla;Navarra;Vía Miguel de Cervantes 60;31560
45504070L;AURELIO ARAGON SANTAMARIA;2/1/67;770988696;aurelio_67@post.com;Lladorre;Lleida;Paseo Rafael Alberti 80;25830
61822872E;JORDI BURGOS SASTRE;13/4/86;777101059;jordi_86@journalism.com;Eskoriatza;Gipuzkoa;Ronda Lorca 71;20683
41968204N;MARIA JOSE MERINO DE LA CRUZ;19/8/84;754543940;mariajose_84@hotmail.com;Barásoain;Navarra;Avenida Fuente 98;31481
10715184J;ALEXIS NUÑEZ MORA;11/4/71;698483999;alexis_71@gmail.com;Prioro;León;Camino San Pedro 26;24096
39201132R;REMEDIOS ROJO CARO;26/3/63;657600401;remedios_63@netscape.net;Cubillos del Sil;León;Ronda Fuente 54;24213
33310200J;MARIA SOLEDAD ROJAS OJEDA;26/9/99;637466681;mariasoledad_99@yahoo.com;Anquela del Ducado;Guadalajara;Corredera San Miguel 36;19406
45676541J;TAMARA MORAN ARAUJO;4/2/76;739752283;tamara_76@hotmail.co.uk;Barrios de Colina;Burgos;Gran vía Real 4;09594
03366404D;MARIA JOSEFA LATORRE ZAMBRANO;5/5/72;777117215;mariajosefa_72@caramail.com;Salmerón;Guadalajara;Carrera Vicente Aleixandre 5;19508
90082173M;PALOMA CALLEJA ESTEVEZ;5/12/07;680955711;paloma_07@scientist.com;Montejo de la Sierra;Madrid;Ronda Clara Campoamor 7;28607
22077119V;CELIA CASTELLANO RUEDA;22/12/55;788185407;celia_55@lycos.es;Albero Alto;Huesca;Corredera Pablo Picasso 8;22495
83358917V;ALEX COLLADO BARREIRO;18/9/64;710395735;alex_64@lycos.at;Boqueixón;Coruña, A;Paseo Rafael Murillo 94;15533
48549021T;EMMA ARIAS PARDO;3/12/61;671307516;emma_61@yahoo.com;Blázquez, Los;Córdoba;Pasaje San José 56;14916
92631123A;JUAN CARLOS ESTEVEZ CARRION;8/2/64;773845043;juancarlos_64@msn.co.uk;Armenteros;Salamanca;Cuesta Horno 87;37985
16439644A;MARIA PILAR ROMAN SOLE;7/9/45;740858573;mariapilar_45@email.com;Tordómar;Burgos;Ronda Santa Ana 59;09327
71139977B;JUDITH MESA HUERTAS;20/2/43;767314032;judith_43@mail.com;Villava/Atarrabia;Navarra;Rambla Manuel de Falla 33;31691
82798084Q;PASCUAL VALLS OJEDA;5/7/73;713582964;pascual_73@hotmail.com;Teruel;Teruel;Camino Horno 43;44841
71814732S;EUGENIA BARTOLOME SANTANA;29/10/75;713801230;eugenia_75@earthling.net;Gisclareny;Barcelona;Gran vía Real 63;08513
55760599C;JOSE FRANCISCO FERNANDEZ RUIZ;5/7/04;674963895;josefrancisco_04@teacher.com;Montesquiu;Barcelona;Camino Lorca 40;08237
40637624M;EMILIA SALA CEREZO;8/11/82;752922313;emilia_82@lycos.at;Casasimarro;Cuenca;Pasaje de España 63;16517
36128746R;DOMINGO SANTAMARIA SERRANO;11/7/63;704586683;domingo_63@techie.com;Moratalla;Murcia;Corredera San Juan 55;30249
55424899M;FELISA LLORENS BARBERO;10/10/48;607225127;felisa_48@lycos.es;Botarell;Tarragona;Pasaje Pedralbes 72;43854
96724565C;FLORENTINA MARRERO MOHAMED;29/4/83;785247111;florentina_83@aol.com;Valgañón;Rioja, La;Callejón Diego Velázquez 1;26469
43864987P;ENRIQUETA CONTRERAS BENITEZ;8/10/56;653638862;enriqueta_56@talk21.com;Corbalán;Teruel;Pasaje Antonio Machado 33;44688
91913917Y;RAUL REQUENA CARRION;8/1/69;693031655;raul_69@hotmail.co.uk;Bretocino;Zamora;Vía Pablo Picasso 48;49677
49625190E;AFRICA BERMUDEZ SAIZ;11/5/51;777166341;africa_51@iname.com;Santiago del Collado;Ávila;Ronda Santa Ana 83;05070
15335700J;FRANCISCO JOSE BOSCH PRIETO;31/8/78;762462145;franciscojose_78@lycos.co.uk;Gerena;Sevilla;Avenida de España 16;41565
37296026P;BEGOÑA CASTAÑO RIERA;28/2/77;718050699;begona_77@teacher.com;Alcalá de Gurrea;Huesca;Rambla Iglesia 93;22505
23342358A;MARIA LUZ MOLINA MESA;10/1/54;738075904;marialuz_54@email.com;Riberos de la Cueza;Palencia;Callejón Miguel Hernández 7;34384
